Level,Date and Time,Source,Event ID,Task Category
Information,3/18/2026 9:29:33 AM,CoworkVMService,1,None,Incorrect function.
Information,3/18/2026 9:11:33 AM,SecurityCenter,15,None,Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.
Warning,3/17/2026 8:59:42 AM,Microsoft-Windows-Perflib,1008,None,"The Open procedure for service ""WmiApRpl"" in DLL ""C:\WINDOWS\system32\wbem\wmiaprpl.dll"" failed with error code The device is not ready.. Performance data for this service will not be available."
Warning,3/17/2026 8:59:42 AM,Microsoft-Windows-Perflib,1008,None,"The Open procedure for service "".NETFramework"" in DLL ""C:\WINDOWS\system32\mscoree.dll"" failed with error code Access is denied.. Performance data for this service will not be available."
Error,3/18/2026 9:11:33 AM,Microsoft-Windows-Perflib,1023,None,"Windows cannot load the extensible counter DLL ""C:\WINDOWS\system32\sysmain.dll"" (Win32 error code The specified module could not be found.)."
Error,3/16/2026 9:10:37 PM,Application Hang,1002,Hanging Events,"The program TextInputHost.exe version 2126.2401.0.0 stopped interacting with Windows and was closed. To see if more information about the problem is available, check the problem history in the Security and Maintenance control panel.
 Process ID: 37e0
 Start Time: 01dca3f2bb5f79f7
 Termination Time: 0
 Application Path: C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe
 Report Id: 85a38af0-e3b1-4f75-b2ef-8c63bada9bc3
 Faulting package full name: MicrosoftWindows.Client.CBS_1000.28531.1000.0_x64__cw5n1h2txyewy
 Faulting package-relative application ID: TextInputHost
 Hang type: Quiesce"
Error,3/18/2026 7:55:00 AM,.NET Runtime,1026,None,"Application: MyApp.exe
Framework Version: v4.0.30319
Description: The process was terminated due to an unhandled exception."
Critical,3/18/2026 7:50:00 AM,Microsoft-Windows-Kernel-Power,41,63,The system has rebooted without cleanly shutting down first.
Verbose,3/18/2026 7:45:00 AM,PowerShell,600,Provider Lifecycle,"Provider ""Variable"" is Started."
Information,3/18/2026 7:40:00 AM,"Service Control Manager",7036,None,The Windows Update service entered the running state.
